,home,away,date,season,venue,type,toss,winner,man_of_match,points
855,Punjab Kings,Rajasthan Royals,"21st September, 2021",2021 - 32nd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Rajasthan Royals won by 2 runs,Kartik Tyagi,
856,Delhi Capitals,Sunrisers Hyderabad,"22nd September, 2021",2021 - 33rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Delhi Capitals won by 8 wickets,Anrich Nortje,
857,Kolkata Knight Riders,Mumbai Indians,"23rd September, 2021",2021 - 34th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Sunil Narine,
858,Chennai Super Kings,Royal Challengers Bangalore,"24th September, 2021",2021 - 35th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Dwayne Bravo,
859,Delhi Capitals,Rajasthan Royals,"25th September, 2021",2021 - 36th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Delhi Capitals won by 33 runs,Shreyas Iyer,
860,Punjab Kings,Sunrisers Hyderabad,"25th September, 2021",2021 - 37th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Punjab Kings won by 5 runs,Jason Holder,
861,Chennai Super Kings,Kolkata Knight Riders,"26th September, 2021",2021 - 38th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 2 wickets,Ravindra Jadeja,
862,Mumbai Indians,Royal Challengers Bangalore,"26th September, 2021",2021 - 39th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Royal Challengers Bangalore won by 54 runs,Glenn Maxwell,"Royal Challengers Bangalore 2, Mumbai Indians 0"
863,Rajasthan Royals,Sunrisers Hyderabad,"27th September, 2021",2021 - 40th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Jason Roy,
864,Delhi Capitals,Kolkata Knight Riders,"28th September, 2021",2021 - 41st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 3 wickets,Sunil Narine,
865,Mumbai Indians,Punjab Kings,"28th September, 2021",2021 - 42nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Kieron Pollard,
866,Rajasthan Royals,Royal Challengers Bangalore,"29th September, 2021",2021 - 43rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Yuzvendra Chahal,
867,Chennai Super Kings,Sunrisers Hyderabad,"30th September, 2021",2021 - 44th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Josh Hazlewood,
868,Kolkata Knight Riders,Punjab Kings,"1st October, 2021",2021 - 45th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 5 wickets,KL Rahul,
869,Delhi Capitals,Mumbai Indians,"2nd October, 2021",2021 - 46th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 4 wickets,Axar Patel,
870,Chennai Super Kings,Rajasthan Royals,"2nd October, 2021",2021 - 47th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Ruturaj Gaikwad,
871,Punjab Kings,Royal Challengers Bangalore,"3rd October, 2021",2021 - 48th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,
872,Kolkata Knight Riders,Sunrisers Hyderabad,"3rd October, 2021",2021 - 49th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Kolkata Knight Riders won by 6 wickets,Shubman Gill,
873,Chennai Super Kings,Delhi Capitals,"4th October, 2021",2021 - 50th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 3 wickets,Axar Patel,
874,Mumbai Indians,Rajasthan Royals,"5th October, 2021",2021 - 51st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Nathan Coulter-Nile,
875,Royal Challengers Bangalore,Sunrisers Hyderabad,"6th October, 2021",2021 - 52nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,
876,Chennai Super Kings,Punjab Kings,"7th October, 2021",2021 - 53rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 6 wickets,KL Rahul,
877,Kolkata Knight Riders,Rajasthan Royals,"7th October, 2021",2021 - 54th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kolkata Knight Riders won by 86 runs,Shivam Mavi,
878,Mumbai Indians,Sunrisers Hyderabad,"8th October, 2021",2021 - 55th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 42 runs,Ishan Kishan,
879,Delhi Capitals,Royal Challengers Bangalore,"8th October, 2021",2021 - 56th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Srikar Bharat,
880,Chennai Super Kings,Delhi Capitals,"10th October, 2021",2021 - 1st Qualifying Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,Ruturaj Gaikwad,
881,Kolkata Knight Riders,Royal Challengers Bangalore,"11th October, 2021",2021 - 1st Elimination Final,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kolkata Knight Riders won by 4 wickets,Sunil Narine,
882,Delhi Capitals,Kolkata Knight Riders,"13th October, 2021",2021 - 2nd Qualifying Final,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 3 wickets,Venkatesh Iyer,
883,Chennai Super Kings,Kolkata Knight Riders,"15th October, 2021",2021 - Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 27 runs,Faf du Plessis,
884,Chennai Super Kings,Kolkata Knight Riders,"26th March, 2022",2022 - 1st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Umesh Yadav,
885,Mumbai Indians,Delhi Capitals,"27th March, 2022",2022 - 2nd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 4 wickets,Kuldeep Yadav,
886,Punjab Kings,Royal Challengers Bangalore,"27th March, 2022",2022 - 3rd Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 5 wickets,Faf du Plessis,
887,Gujarat Titans,Lucknow Super Giants,"28th March, 2022",2022 - 4th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Gujarat Titans won the toss and elected to field,Gujarat Titans won by 5 wickets,Mohammed Shami,
888,Rajasthan Royals,Sunrisers Hyderabad,"29th March, 2022",2022 - 5th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Rajasthan Royals won by 61 runs,Sanju Samson,
889,Kolkata Knight Riders,Royal Challengers Bangalore,"30th March, 2022",2022 - 6th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 3 wickets,Wanindu Hasaranga,
890,Chennai Super Kings,Lucknow Super Giants,"31st March, 2022",2022 - 7th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Lucknow Super Giants won by 6 wickets,Evin Lewis,
891,Kolkata Knight Riders,Punjab Kings,"1st April, 2022",2022 - 8th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Umesh Yadav,
892,Mumbai Indians,Rajasthan Royals,"2nd April, 2022",2022 - 9th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Rajasthan Royals won by 23 runs,Jos Buttler,
893,Delhi Capitals,Gujarat Titans,"2nd April, 2022",2022 - 10th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Gujarat Titans won by 14 runs,Lockie Ferguson,
894,Chennai Super Kings,Punjab Kings,"3rd April, 2022",2022 - 11th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Punjab Kings won by 54 runs,Liam Livingstone,
895,Lucknow Super Giants,Sunrisers Hyderabad,"4th April, 2022",2022 - 12th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Lucknow Super Giants won by 12 runs,Avesh Khan,
896,Rajasthan Royals,Royal Challengers Bangalore,"5th April, 2022",2022 - 13th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,Dinesh Karthik,
897,Kolkata Knight Riders,Mumbai Indians,"6th April, 2022",2022 - 14th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Pat Cummins,
898,Delhi Capitals,Lucknow Super Giants,"7th April, 2022",2022 - 15th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Lucknow Super Giants won by 6 wickets,Quinton de Kock,
899,Gujarat Titans,Punjab Kings,"8th April, 2022",2022 - 16th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Gujarat Titans won the toss and elected to field,Gujarat Titans won by 6 wickets,Shubman Gill,
900,Chennai Super Kings,Sunrisers Hyderabad,"9th April, 2022",2022 - 17th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Abhishek Sharma,
901,Mumbai Indians,Royal Challengers Bangalore,"9th April, 2022",2022 - 18th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Anuj Rawat,
902,Delhi Capitals,Kolkata Knight Riders,"10th April, 2022",2022 - 19th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Capitals won by 44 runs,Kuldeep Yadav,
903,Lucknow Super Giants,Rajasthan Royals,"10th April, 2022",2022 - 20th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Rajasthan Royals won by 3 runs,Yuzvendra Chahal,
904,Gujarat Titans,Sunrisers Hyderabad,"11th April, 2022",2022 - 21st Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Kane Williamson,
905,Chennai Super Kings,Royal Challengers Bangalore,"12th April, 2022",2022 - 22nd Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Chennai Super Kings won by 23 runs,Shivam Dube,
906,Mumbai Indians,Punjab Kings,"13th April, 2022",2022 - 23rd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Punjab Kings won by 12 runs,Mayank Agarwal,
907,Gujarat Titans,Rajasthan Royals,"14th April, 2022",2022 - 24th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Gujarat Titans won by 37 runs,Hardik Pandya,
908,Kolkata Knight Riders,Sunrisers Hyderabad,"15th April, 2022",2022 - 25th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 7 wickets,Rahul Tripathi,
909,Mumbai Indians,Lucknow Super Giants,"16th April, 2022",2022 - 26th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to bat,Lucknow Super Giants won by 18 runs,KL Rahul,
910,Delhi Capitals,Royal Challengers Bangalore,"16th April, 2022",2022 - 27th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,
911,Punjab Kings,Sunrisers Hyderabad,"17th April, 2022",2022 - 28th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 7 wickets,Umran Malik,
912,Chennai Super Kings,Gujarat Titans,"17th April, 2022",2022 - 29th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Gujarat Titans won the toss and elected to field,Gujarat Titans won by 3 wickets,David Miller,
913,Kolkata Knight Riders,Rajasthan Royals,"18th April, 2022",2022 - 30th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,
914,Lucknow Super Giants,Royal Challengers Bangalore,"19th April, 2022",2022 - 31st Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,
915,Delhi Capitals,Punjab Kings,"20th April, 2022",2022 - 32nd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 9 wickets,Kuldeep Yadav,
916,Mumbai Indians,Chennai Super Kings,"21st April, 2022",2022 - 33rd Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 3 wickets,Mukesh Choudhary,
917,Delhi Capitals,Rajasthan Royals,"22nd April, 2022",2022 - 34th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Rajasthan Royals won by 15 runs,Jos Buttler,
918,Gujarat Titans,Kolkata Knight Riders,"23rd April, 2022",2022 - 35th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Gujarat Titans won the toss and elected to bat,Gujarat Titans won by 8 runs,Rashid Khan,
919,Royal Challengers Bangalore,Sunrisers Hyderabad,"23rd April, 2022",2022 - 36th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 9 wickets,Marco Jansen,
920,Mumbai Indians,Lucknow Super Giants,"24th April, 2022",2022 - 37th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Lucknow Super Giants won by 36 runs,KL Rahul,
921,Chennai Super Kings,Punjab Kings,"25th April, 2022",2022 - 38th Match,"Wankhede Stadium, Mumbai","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Punjab Kings won by 11 runs,Shikhar Dhawan,
922,Rajasthan Royals,Royal Challengers Bangalore,"26th April, 2022",2022 - 39th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rajasthan Royals won by 29 runs,Riyan  Parag,
923,Gujarat Titans,Sunrisers Hyderabad,"27th April, 2022",2022 - 40th Match,"Wankhede Stadium, Mumbai","20 Overs, Day Match",Gujarat Titans won the toss and elected to field,Gujarat Titans won by 5 wickets,Umran Malik,
924,Delhi Capitals,Kolkata Knight Riders,"28th April, 2022",2022 - 41st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 4 wickets,Kuldeep Yadav,
925,Lucknow Super Giants,Punjab Kings,"29th April, 2022",2022 - 42nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,
926,Gujarat Titans,Royal Challengers Bangalore,"30th April, 2022",2022 - 43rd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Gujarat Titans won by 6 wickets,Rahul Tewatia,
