,home,away,date,season,venue,type,toss,winner,man_of_match,points
842,Kings XI Punjab,Rajasthan Royals,"24th March, 2010",2010 - 19th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Rajasthan Royals won by 31 runs,Adam Voges,
843,Royal Challengers Bangalore,Delhi Daredevils,"25th March, 2010",2010 - 20th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Delhi Daredevils won by 17 runs,Kedar Jadhav,
844,Mumbai Indians,Chennai Super Kings,"25th March, 2010",2010 - 21st Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Sachin Tendulkar,
845,Rajasthan Royals,Deccan Chargers,"26th March, 2010",2010 - 22nd Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 8 wickets,Yusuf Pathan,
846,Kings XI Punjab,Kolkata Knight Riders,"27th March, 2010",2010 - 23rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 39 runs,Manoj Tiwary,
847,Rajasthan Royals,Chennai Super Kings,"28th March, 2010",2010 - 24th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 17 runs,Naman Ojha,
848,Deccan Chargers,Mumbai Indians,"28th March, 2010",2010 - 25th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Mumbai Indians won by 41 runs,Harbhajan Singh,
849,Delhi Daredevils,Kolkata Knight Riders,"29th March, 2010",2010 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 40 runs,David Warner,
850,Mumbai Indians,Kings XI Punjab,"30th March, 2010",2010 - 27th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Lasith Malinga,
851,Chennai Super Kings,Royal Challengers Bangalore,"31st March, 2010",2010 - 28th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Murali Vijay,
852,Delhi Daredevils,Rajasthan Royals,"31st March, 2010",2010 - 29th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 67 runs,Dinesh Karthik,
853,Kolkata Knight Riders,Deccan Chargers,"1st April, 2010",2010 - 30th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 24 runs,Sourav Ganguly,
854,Kings XI Punjab,Royal Challengers Bangalore,"2nd April, 2010",2010 - 31st Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets,Kevin Pietersen,
855,Chennai Super Kings,Rajasthan Royals,"3rd April, 2010",2010 - 32nd Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 23 runs,Murali Vijay,
856,Mumbai Indians,Deccan Chargers,"3rd April, 2010",2010 - 33rd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 63 runs,Ambati Rayudu,
857,Kolkata Knight Riders,Kings XI Punjab,"4th April, 2010",2010 - 34th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kings XI Punjab won by 8 wickets,Mahela Jayawardene,
858,Delhi Daredevils,Royal Challengers Bangalore,"4th April, 2010",2010 - 35th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 37 runs,Paul Collingwood,
859,Deccan Chargers,Rajasthan Royals,"5th April, 2010",2010 - 36th Match,"Vidarbha Cricket Association Stadium, Nagpur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 2 runs,Shane Warne,
860,Chennai Super Kings,Mumbai Indians,"6th April, 2010",2010 - 37th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 24 runs,Suresh Raina,
861,Rajasthan Royals,Kings XI Punjab,"7th April, 2010",2010 - 38th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Rajasthan Royals won by 9 wickets,Michael Lumb,
862,Kolkata Knight Riders,Delhi Daredevils,"7th April, 2010",2010 - 39th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 14 runs,Sourav Ganguly,
863,Royal Challengers Bangalore,Deccan Chargers,"8th April, 2010",2010 - 40th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 7 wickets,Tirumalasetti Suman,
864,Kings XI Punjab,Mumbai Indians,"9th April, 2010",2010 - 41st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Kumar Sangakkara,
865,Deccan Chargers,Chennai Super Kings,"10th April, 2010",2010 - 42nd Match,"Vidarbha Cricket Association Stadium, Nagpur","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Deccan Chargers won by 6 wickets,Ryan Harris,
866,Royal Challengers Bangalore,Kolkata Knight Riders,"10th April, 2010",2010 - 43rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Vinay Kumar,
867,Delhi Daredevils,Kings XI Punjab,"11th April, 2010",2010 - 44th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kings XI Punjab won by 7 wickets,Piyush Chawla,
868,Rajasthan Royals,Mumbai Indians,"11th April, 2010",2010 - 45th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Mumbai Indians won by 37 runs,Sachin Tendulkar,
869,Deccan Chargers,Royal Challengers Bangalore,"12th April, 2010",2010 - 46th Match,"Vidarbha Cricket Association Stadium, Nagpur","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Deccan Chargers won by 13 runs,Harmeet Singh,
870,Mumbai Indians,Delhi Daredevils,"13th April, 2010",2010 - 47th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 39 runs,Kieron Pollard,
871,Chennai Super Kings,Kolkata Knight Riders,"13th April, 2010",2010 - 48th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 9 wickets,Ravichandran Ashwin,
872,Rajasthan Royals,Royal Challengers Bangalore,"14th April, 2010",2010 - 49th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Royal Challengers Bangalore won by 5 wickets,Kevin Pietersen,
873,Chennai Super Kings,Delhi Daredevils,"15th April, 2010",2010 - 50th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Gautam Gambhir,
874,Kings XI Punjab,Deccan Chargers,"16th April, 2010",2010 - 51st Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 5 wickets,Rohit Sharma,
875,Royal Challengers Bangalore,Mumbai Indians,"17th April, 2010",2010 - 52nd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Mumbai Indians won by 57 runs,Ryan McLaren,
876,Kolkata Knight Riders,Rajasthan Royals,"17th April, 2010",2010 - 53rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Jaydev Unadkat,
877,Kings XI Punjab,Chennai Super Kings,"18th April, 2010",2010 - 54th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,M S Dhoni,
878,Delhi Daredevils,Deccan Chargers,"18th April, 2010",2010 - 55th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 11 runs,Andrew Symonds,
879,Kolkata Knight Riders,Mumbai Indians,"19th April, 2010",2010 - 56th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kolkata Knight Riders won by 9 wickets,Murali Kartik,
880,Royal Challengers Bangalore,Mumbai Indians,"21st April, 2010",2010 - 1st Semi Final,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 35 runs,Kieron Pollard,
881,Chennai Super Kings,Deccan Chargers,"22nd April, 2010",2010 - 2nd Semi Final,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 38 runs,Doug Bollinger,
882,Royal Challengers Bangalore,Deccan Chargers,"24th April, 2010",2010 - 3rd Playoff,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Royal Challengers Bangalore won by 9 wickets,Anil Kumble,
883,Chennai Super Kings,Mumbai Indians,"25th April, 2010",2010 - Final,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 22 runs,Suresh Raina,
884,Chennai Super Kings,Kolkata Knight Riders,"8th April, 2011",2011 - 1st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 2 runs,Srikkanth Anirudha,
885,Deccan Chargers,Rajasthan Royals,"9th April, 2011",2011 - 2nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 8 wickets,Siddharth Trivedi,
886,Kochi Tuskers Kerala,Royal Challengers Bangalore,"9th April, 2011",2011 - 3rd Match,"Nehru Stadium, Kochi","20 Overs, Day/Night Match",Kochi Tuskers Kerala won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets,AB de Villiers,
887,Delhi Daredevils,Mumbai Indians,"10th April, 2011",2011 - 4th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Mumbai Indians won by 8 wickets,Lasith Malinga,
888,Pune Warriors,Kings XI Punjab,"10th April, 2011",2011 - 5th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Pune Warriors won by 7 wickets,Shrikant Wagh,
889,Kolkata Knight Riders,Deccan Chargers,"11th April, 2011",2011 - 6th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 9 runs,Jacques Kallis,
890,Rajasthan Royals,Delhi Daredevils,"12th April, 2011",2011 - 7th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Rajasthan Royals won by 6 wickets,Shane Warne,
891,Royal Challengers Bangalore,Mumbai Indians,"12th April, 2011",2011 - 8th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Sachin Tendulkar,
892,Kings XI Punjab,Chennai Super Kings,"13th April, 2011",2011 - 9th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Paul Valthaty,
893,Pune Warriors,Kochi Tuskers Kerala,"13th April, 2011",2011 - 10th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Kochi Tuskers Kerala won the toss and elected to bat,Pune Warriors won by 4 wickets,Mohnish Mishra,
894,Deccan Chargers,Royal Challengers Bangalore,"14th April, 2011",2011 - 11th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Deccan Chargers won by 33 runs,Dale Steyn,
895,Rajasthan Royals,Kolkata Knight Riders,"15th April, 2011",2011 - 12th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 9 wickets,Gautam Gambhir,
896,Mumbai Indians,Kochi Tuskers Kerala,"15th April, 2011",2011 - 13th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kochi Tuskers Kerala won the toss and elected to field,Kochi Tuskers Kerala won by 8 wickets,Brendon McCullum,
897,Chennai Super Kings,Royal Challengers Bangalore,"16th April, 2011",2011 - 14th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 21 runs,Michael Hussey,
898,Deccan Chargers,Kings XI Punjab,"16th April, 2011",2011 - 15th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 8 wickets,Paul Valthaty,
899,Pune Warriors,Delhi Daredevils,"17th April, 2011",2011 - 16th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 3 wickets,Yuvraj Singh,
900,Kolkata Knight Riders,Rajasthan Royals,"17th April, 2011",2011 - 17th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 8 wickets,Lakshmipathy Balaji,
901,Kochi Tuskers Kerala,Chennai Super Kings,"18th April, 2011",2011 - 18th Match,"Nehru Stadium, Kochi","20 Overs, Day/Night Match",Kochi Tuskers Kerala won the toss and elected to field,Kochi Tuskers Kerala won by 7 wickets,Brendon McCullum,
902,Delhi Daredevils,Deccan Chargers,"19th April, 2011",2011 - 19th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 16 runs,Sunny Sohal,
903,Royal Challengers Bangalore,Rajasthan Royals,"19th April, 2011",2011 - 20th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,
904,Mumbai Indians,Pune Warriors,"20th April, 2011",2011 - 21st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Mumbai Indians won by 7 wickets,Munaf Patel,
905,Kolkata Knight Riders,Kochi Tuskers Kerala,"20th April, 2011",2011 - 22nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kochi Tuskers Kerala won by 6 runs,Mahela Jayawardene,
906,Kings XI Punjab,Rajasthan Royals,"21st April, 2011",2011 - 23rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kings XI Punjab won by 48 runs,Shaun Marsh,
907,Kolkata Knight Riders,Royal Challengers Bangalore,"22nd April, 2011",2011 - 24th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 9 wickets,Chris Gayle,
908,Mumbai Indians,Chennai Super Kings,"22nd April, 2011",2011 - 25th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Mumbai Indians won by 8 runs,Harbhajan Singh,
909,Delhi Daredevils,Kings XI Punjab,"23rd April, 2011",2011 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Delhi Daredevils won by 29 runs,David Warner,
910,Deccan Chargers,Mumbai Indians,"24th April, 2011",2011 - 27th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Mumbai Indians won by 37 runs,Lasith Malinga,
911,Rajasthan Royals,Kochi Tuskers Kerala,"24th April, 2011",2011 - 28th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 8 wickets,Shane Warne,
912,Chennai Super Kings,Pune Warriors,"25th April, 2011",2011 - 29th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Chennai Super Kings won by 25 runs,Michael Hussey,
913,Delhi Daredevils,Royal Challengers Bangalore,"26th April, 2011",2011 - 30th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 3 wickets,Virat Kohli,
914,Pune Warriors,Chennai Super Kings,"27th April, 2011",2011 - 31st Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Chennai Super Kings won by 8 wickets,Doug Bollinger,
